OPENSECRETS.INDUSTRY,YEAR,STATE,FIRST,LAST,DISTRICT,CANDIDATE,PARTY,AMOUNT,INDUSTRYPERCENT,CANDTOTAL,INCUMBENT,VOTES,PERCENT,PRIMARY.INDUSTRY,SECONDARY.INDUSTRY1,SECONDARY.INDUSTRY2,SECONDARY.INDUSTRY3,WINNER,TotalRaceFunds,RaceFundPerc,CANDTOTALLEVEL,VOTESLEVEL,INDRANK,X,Sector,AdjClose,Group,YrPercentChange,RelYear
Electric Utilities,2012,MO,EMANUEL,CLEAVER,5,EMANUEL CLEAVER,D,21000,0.027890372,752948,1,200290,0.6052,Utilities,,,,1,895969,0.840372825,Mid-Low,High,6,100,Utilities,1570.556263,Values1314b,0.473743269,2012
Accountants,2012,MO,EMANUEL,CLEAVER,5,EMANUEL CLEAVER,D,210988,0.280215898,752948,1,200290,0.6052,Financials,,,,1,895969,0.840372825,Mid-Low,High,2,94,Financials,5999.823849,Values1314b,0.542910069,2012
Misc Manufacturing & Distributing,2012,MO,EMANUEL,CLEAVER,5,EMANUEL CLEAVER,D,41700,0.055382311,752948,1,200290,0.6052,Consumer Discretionary,Materials,Consumer Staples,Industrials,1,895969,0.840372825,Mid-Low,High,4,91,Consumer Discretionary,8184.442504,Values1314b,0.6440764,2012
Business Services,2012,MO,JACOB,TURK,5,JACOB TURK,R,15900,0.111172485,143021,0,122149,0.3691,Consumer Discretionary,Industrials,,,0,895969,0.159627175,Very Low,Mid-Low,2,91,Consumer Discretionary,8184.442504,Values1314b,0.6440764,2012
Telecom Services & Equipment,2012,MO,JACOB,TURK,5,JACOB TURK,R,2460,0.017200271,143021,0,122149,0.3691,Telecommunication Services,,,,0,895969,0.159627175,Very Low,Mid-Low,7,99,Telecommunication Services,132.289977,Values1314b,0.175711767,2012
Food & Beverage,2012,MO,EMANUEL,CLEAVER,5,EMANUEL CLEAVER,D,24300,0.032273145,752948,1,200290,0.6052,Consumer Staples,,,,1,895969,0.840372825,Mid-Low,High,5,92,Consumer Staples,2704.199142,Values1314b,0.523467767,2012
Telephone Utilities,2012,MO,EMANUEL,CLEAVER,5,EMANUEL CLEAVER,D,21000,0.027890372,752948,1,200290,0.6052,Telecommunication Services,,,,1,895969,0.840372825,Mid-Low,High,7,99,Telecommunication Services,132.289977,Values1314b,0.175711767,2012
Hospitals/Nursing Homes,2012,MO,JACOB,TURK,5,JACOB TURK,R,9950,0.069570203,143021,0,122149,0.3691,Health Care,,,,0,895969,0.159627175,Very Low,Mid-Low,4,95,Health Care,5966.566284,Values1314b,0.782492615,2012
Misc Business,2012,MO,JACOB,TURK,5,JACOB TURK,R,1850,0.012935163,143021,0,122149,0.3691,Materials,Consumer Discretionary,Consumer Staples,Industrials,0,895969,0.159627175,Very Low,Mid-Low,9,98,Materials,2244.49036,Values1314b,0.413267616,2012
Accountants,2012,MO,JACOB,TURK,5,JACOB TURK,R,5750,0.040203886,143021,0,122149,0.3691,Financials,,,,0,895969,0.159627175,Very Low,Mid-Low,6,94,Financials,5999.823849,Values1314b,0.542910069,2012
Crop Production & Basic Processing,2012,MO,KYLE,YARBER,6,KYLE A YARBER,D,500,0.019615536,25490,0,108503,0.3252,Consumer Staples,,,,0,826607,0.030836903,Very Low,Mid-Low,3,92,Consumer Staples,2704.199142,Values1314b,0.523467767,2012
Automotive,2012,MO,SAM,GRAVES,6,SAM GRAVES,R,85250,0.10641392,801117,1,216906,0.65,Consumer Discretionary,,,,1,826607,0.969163097,Mid-Low,High,5,91,Consumer Discretionary,8184.442504,Values1314b,0.6440764,2012
Building Materials & Equipment,2012,MO,SAM,GRAVES,6,SAM GRAVES,R,65500,0.081760841,801117,1,216906,0.65,Materials,Industrials,,,1,826607,0.969163097,Mid-Low,High,6,98,Materials,2244.49036,Values1314b,0.413267616,2012
Agricultural Services/Products,2012,MO,SAM,GRAVES,6,SAM GRAVES,R,90180,0.112567827,801117,1,216906,0.65,Consumer Staples,,,,1,826607,0.969163097,Mid-Low,High,4,92,Consumer Staples,2704.199142,Values1314b,0.523467767,2012
Printing & Publishing,2012,MO,KYLE,YARBER,6,KYLE A YARBER,D,4800,0.188309141,25490,0,108503,0.3252,Consumer Discretionary,Industrials,,,0,826607,0.030836903,Very Low,Mid-Low,2,91,Consumer Discretionary,8184.442504,Values1314b,0.6440764,2012
Electric Utilities,2012,MO,SAM,GRAVES,6,SAM GRAVES,R,24500,0.030582299,801117,1,216906,0.65,Utilities,,,,1,826607,0.969163097,Mid-Low,High,9,100,Utilities,1570.556263,Values1314b,0.473743269,2012
Air Transport,2012,MO,SAM,GRAVES,6,SAM GRAVES,R,203188,0.253630868,801117,1,216906,0.65,Industrials,,,,1,826607,0.969163097,Mid-Low,High,1,96,Industrials,5442.195259,Values1314b,0.555140148,2012
Telephone Utilities,2012,MO,SAM,GRAVES,6,SAM GRAVES,R,28450,0.035512915,801117,1,216906,0.65,Telecommunication Services,,,,1,826607,0.969163097,Mid-Low,High,8,99,Telecommunication Services,132.289977,Values1314b,0.175711767,2012
Health Services/HMOs,2012,MO,SAM,GRAVES,6,SAM GRAVES,R,22500,0.028085785,801117,1,216906,0.65,Health Care,,,,1,826607,0.969163097,Mid-Low,High,10,95,Health Care,5966.566284,Values1314b,0.782492615,2012
Commercial Banks,2012,MO,SAM,GRAVES,6,SAM GRAVES,R,61200,0.076393336,801117,1,216906,0.65,Financials,,,,1,826607,0.969163097,Mid-Low,High,7,94,Financials,5999.823849,Values1314b,0.542910069,2012
Commercial Banks,2012,MO,BILLY,LONG,7,BILLY LONG,R,84350,0.148024007,569840,1,203565,0.6387,Financials,,,,1,571040,0.997898571,Mid-Low,High,2,94,Financials,5999.823849,Values1314b,0.542910069,2012
Health Services/HMOs,2012,MO,BILLY,LONG,7,BILLY LONG,R,20250,0.035536291,569840,1,203565,0.6387,Health Care,,,,1,571040,0.997898571,Mid-Low,High,8,95,Health Care,5966.566284,Values1314b,0.782492615,2012
Telephone Utilities,2012,MO,BILLY,LONG,7,BILLY LONG,R,15000,0.026323178,569840,1,203565,0.6387,Telecommunication Services,,,,1,571040,0.997898571,Mid-Low,High,9,99,Telecommunication Services,132.289977,Values1314b,0.175711767,2012
Automotive,2012,MO,BILLY,LONG,7,BILLY LONG,R,82750,0.145216201,569840,1,203565,0.6387,Consumer Discretionary,,,,1,571040,0.997898571,Mid-Low,High,3,91,Consumer Discretionary,8184.442504,Values1314b,0.6440764,2012
Misc Business,2012,MO,JAMES,EVANS,7,JAMES S EVANS,D,200,0.166666667,1200,0,98498,0.309,Materials,Consumer Discretionary,Consumer Staples,Industrials,0,571040,0.002101429,Very Low,Mid-Low,2,98,Materials,2244.49036,Values1314b,0.413267616,2012
Air Transport,2012,MO,BILLY,LONG,7,BILLY LONG,R,75750,0.132932051,569840,1,203565,0.6387,Industrials,,,,1,571040,0.997898571,Mid-Low,High,5,96,Industrials,5442.195259,Values1314b,0.555140148,2012
Building Materials & Equipment,2012,MO,BILLY,LONG,7,BILLY LONG,R,23300,0.040888671,569840,1,203565,0.6387,Materials,Industrials,,,1,571040,0.997898571,Mid-Low,High,7,98,Materials,2244.49036,Values1314b,0.413267616,2012
"Beer, Wine & Liquor",2012,MO,BILLY,LONG,7,BILLY LONG,R,51450,0.090288502,569840,1,203565,0.6387,Consumer Staples,,,,1,571040,0.997898571,Mid-Low,High,6,92,Consumer Staples,2704.199142,Values1314b,0.523467767,2012
Building Materials & Equipment,2012,MO,JO,EMERSON,8,JO ANN EMERSON,R,33950,0.039422973,861173,1,216083,0.7193,Materials,Industrials,,,1,867773,0.992394324,Mid-High,High,6,98,Materials,2244.49036,Values1314b,0.413267616,2012
Commercial Banks,2012,MO,JO,EMERSON,8,JO ANN EMERSON,R,92200,0.107063273,861173,1,216083,0.7193,Financials,,,,1,867773,0.992394324,Mid-High,High,4,94,Financials,5999.823849,Values1314b,0.542910069,2012
Automotive,2012,MO,JO,EMERSON,8,JO ANN EMERSON,R,83100,0.096496291,861173,1,216083,0.7193,Consumer Discretionary,,,,1,867773,0.992394324,Mid-High,High,5,91,Consumer Discretionary,8184.442504,Values1314b,0.6440764,2012
Electric Utilities,2012,MO,JO,EMERSON,8,JO ANN EMERSON,R,25500,0.029610775,861173,1,216083,0.7193,Utilities,,,,1,867773,0.992394324,Mid-High,High,8,100,Utilities,1570.556263,Values1314b,0.473743269,2012
Agricultural Services/Products,2012,MO,JO,EMERSON,8,JO ANN EMERSON,R,223716,0.259780555,861173,1,216083,0.7193,Consumer Staples,,,,1,867773,0.992394324,Mid-High,High,2,92,Consumer Staples,2704.199142,Values1314b,0.523467767,2012
Telephone Utilities,2012,MO,JO,EMERSON,8,JO ANN EMERSON,R,26500,0.030771982,861173,1,216083,0.7193,Telecommunication Services,,,,1,867773,0.992394324,Mid-High,High,7,99,Telecommunication Services,132.289977,Values1314b,0.175711767,2012
Crop Production & Basic Processing,2012,MO,JACK,RUSHIN,8,JACK RUSHIN,D,500,0.075757576,6600,0,73755,0.2455,Consumer Staples,,,,0,867773,0.007605676,Very Low,Mid-Low,2,92,Consumer Staples,2704.199142,Values1314b,0.523467767,2012
Commercial Banks,2012,MO,JACK,RUSHIN,8,JACK RUSHIN,D,300,0.045454545,6600,0,73755,0.2455,Financials,,,,0,867773,0.007605676,Very Low,Mid-Low,3,94,Financials,5999.823849,Values1314b,0.542910069,2012
Accountants,2012,MS,BRAD,MORRIS,1,BRAD MORRIS,D,250,0.007163324,34900,0,114076,0.369,Financials,,,,0,833329,0.041880218,Very Low,Mid-Low,6,94,Financials,5999.823849,Values1314b,0.542910069,2012
Construction Services,2012,MS,ALAN,NUNNELEE,1,ALAN NUNNELEE,R,41400,0.051916848,797429,1,186760,0.6041,Industrials,,,,1,833329,0.956919776,Mid-Low,Mid-High,7,96,Industrials,5442.195259,Values1314b,0.555140148,2012
Crop Production & Basic Processing,2012,MS,ALAN,NUNNELEE,1,ALAN NUNNELEE,R,69300,0.086904289,797429,1,186760,0.6041,Consumer Staples,,,,1,833329,0.956919776,Mid-Low,Mid-High,4,92,Consumer Staples,2704.199142,Values1314b,0.523467767,2012
Commercial Banks,2012,MS,ALAN,NUNNELEE,1,ALAN NUNNELEE,R,76150,0.095494395,797429,1,186760,0.6041,Financials,,,,1,833329,0.956919776,Mid-Low,Mid-High,3,94,Financials,5999.823849,Values1314b,0.542910069,2012
Misc Business,2012,MS,BRAD,MORRIS,1,BRAD MORRIS,D,300,0.008595989,34900,0,114076,0.369,Materials,Consumer Discretionary,Consumer Staples,Industrials,0,833329,0.041880218,Very Low,Mid-Low,5,98,Materials,2244.49036,Values1314b,0.413267616,2012
Telecom Services & Equipment,2012,MS,ALAN,NUNNELEE,1,ALAN NUNNELEE,R,21000,0.026334633,797429,1,186760,0.6041,Telecommunication Services,,,,1,833329,0.956919776,Mid-Low,Mid-High,10,99,Telecommunication Services,132.289977,Values1314b,0.175711767,2012
Pharmaceuticals/Health Products,2012,MS,ALAN,NUNNELEE,1,ALAN NUNNELEE,R,16500,0.020691497,797429,1,186760,0.6041,Health Care,,,,1,833329,0.956919776,Mid-Low,Mid-High,11,95,Health Care,5966.566284,Values1314b,0.782492615,2012
Automotive,2012,MS,ALAN,NUNNELEE,1,ALAN NUNNELEE,R,53000,0.066463597,797429,1,186760,0.6041,Consumer Discretionary,,,,1,833329,0.956919776,Mid-Low,Mid-High,6,91,Consumer Discretionary,8184.442504,Values1314b,0.6440764,2012
Construction Services,2012,MS,BRAD,MORRIS,1,BRAD MORRIS,D,250,0.007163324,34900,0,114076,0.369,Industrials,,,,0,833329,0.041880218,Very Low,Mid-Low,7,96,Industrials,5442.195259,Values1314b,0.555140148,2012
Business Services,2012,MS,BRAD,MORRIS,1,BRAD MORRIS,D,1150,0.032951289,34900,0,114076,0.369,Consumer Discretionary,Industrials,,,0,833329,0.041880218,Very Low,Mid-Low,3,91,Consumer Discretionary,8184.442504,Values1314b,0.6440764,2012
Electric Utilities,2012,MS,ALAN,NUNNELEE,1,ALAN NUNNELEE,R,22000,0.027588663,797429,1,186760,0.6041,Utilities,,,,1,833329,0.956919776,Mid-Low,Mid-High,9,100,Utilities,1570.556263,Values1314b,0.473743269,2012
Building Materials & Equipment,2012,MS,ALAN,NUNNELEE,1,ALAN NUNNELEE,R,26000,0.032604784,797429,1,186760,0.6041,Materials,Industrials,,,1,833329,0.956919776,Mid-Low,Mid-High,8,98,Materials,2244.49036,Values1314b,0.413267616,2012
Oil & Gas,2012,MS,ALAN,NUNNELEE,1,ALAN NUNNELEE,R,60900,0.076370435,797429,1,186760,0.6041,Energy,,,,1,833329,0.956919776,Mid-Low,Mid-High,5,93,Energy,2302.988878,Values1314b,0.151340006,2012
Automotive,2012,MS,BILL,MARCY,2,BILL MARCY,R,1000,0.137931034,7250,0,99160,0.3096,Consumer Discretionary,,,,0,729393,0.009939772,Very Low,Mid-Low,2,91,Consumer Discretionary,8184.442504,Values1314b,0.6440764,2012
Construction Services,2012,MS,BILL,MARCY,2,BILL MARCY,R,250,0.034482759,7250,0,99160,0.3096,Industrials,,,,0,729393,0.009939772,Very Low,Mid-Low,3,96,Industrials,5442.195259,Values1314b,0.555140148,2012
Computers/Internet,2012,MS,BENNIE,THOMPSON,2,BENNIE G THOMPSON,D,51000,0.07135981,714688,1,214978,0.6713,Consumer Discretionary,Information Technology,,,1,729393,0.979839401,Mid-Low,High,5,91,Consumer Discretionary,8184.442504,Values1314b,0.6440764,2012
Pharmaceuticals/Health Products,2012,MS,BENNIE,THOMPSON,2,BENNIE G THOMPSON,D,48000,0.067162174,714688,1,214978,0.6713,Health Care,,,,1,729393,0.979839401,Mid-Low,High,6,95,Health Care,5966.566284,Values1314b,0.782492615,2012
Agricultural Services/Products,2012,MS,BENNIE,THOMPSON,2,BENNIE G THOMPSON,D,52800,0.073878392,714688,1,214978,0.6713,Consumer Staples,,,,1,729393,0.979839401,Mid-Low,High,4,92,Consumer Staples,2704.199142,Values1314b,0.523467767,2012
Hospitals/Nursing Homes,2012,MS,COBBY,WILLIAMS,2,COBBY M WILLIAMS,I,6525,0.875251509,7455,0,4605,0.0144,Health Care,,,,0,729393,0.010220827,Very Low,Very Low,1,95,Health Care,5966.566284,Values1314b,0.782492615,2012
Air Transport,2012,MS,BENNIE,THOMPSON,2,BENNIE G THOMPSON,D,169949,0.237794674,714688,1,214978,0.6713,Industrials,,,,1,729393,0.979839401,Mid-Low,High,2,96,Industrials,5442.195259,Values1314b,0.555140148,2012
Oil & Gas,2012,MS,BENNIE,THOMPSON,2,BENNIE G THOMPSON,D,24950,0.034910338,714688,1,214978,0.6713,Energy,,,,1,729393,0.979839401,Mid-Low,High,8,93,Energy,2302.988878,Values1314b,0.151340006,2012
Electric Utilities,2012,MS,BENNIE,THOMPSON,2,BENNIE G THOMPSON,D,43750,0.061215523,714688,1,214978,0.6713,Utilities,,,,1,729393,0.979839401,Mid-Low,High,7,100,Utilities,1570.556263,Values1314b,0.473743269,2012
Accountants,2012,MS,GREGG,HARPER,3,GREGG HARPER,R,65850,0.119778233,549766,1,234717,0.8002,Financials,,,,1,549766,1,Mid-Low,High,4,94,Financials,5999.823849,Values1314b,0.542910069,2012
TV/Movies/Music,2012,MS,GREGG,HARPER,3,GREGG HARPER,R,21500,0.039107548,549766,1,234717,0.8002,Consumer Discretionary,,,,1,549766,1,Mid-Low,High,9,91,Consumer Discretionary,8184.442504,Values1314b,0.6440764,2012
Chemical & Related Manufacturing,2012,MS,GREGG,HARPER,3,GREGG HARPER,R,45000,0.081853007,549766,1,234717,0.8002,Materials,,,,1,549766,1,Mid-Low,High,5,98,Materials,2244.49036,Values1314b,0.413267616,2012
Electric Utilities,2012,MS,GREGG,HARPER,3,GREGG HARPER,R,44000,0.080034051,549766,1,234717,0.8002,Utilities,,,,1,549766,1,Mid-Low,High,6,100,Utilities,1570.556263,Values1314b,0.473743269,2012
Oil & Gas,2012,MS,GREGG,HARPER,3,GREGG HARPER,R,72750,0.132329027,549766,1,234717,0.8002,Energy,,,,1,549766,1,Mid-Low,High,3,93,Energy,2302.988878,Values1314b,0.151340006,2012
Defense Aerospace,2012,MS,GREGG,HARPER,3,GREGG HARPER,R,42000,0.076396139,549766,1,234717,0.8002,Industrials,,,,1,549766,1,Mid-Low,High,7,96,Industrials,5442.195259,Values1314b,0.555140148,2012
Telephone Utilities,2012,MS,GREGG,HARPER,3,GREGG HARPER,R,25750,0.046838109,549766,1,234717,0.8002,Telecommunication Services,,,,1,549766,1,Mid-Low,High,8,99,Telecommunication Services,132.289977,Values1314b,0.175711767,2012
Electric Utilities,2012,MS,STEVEN,PALAZZO,4,STEVEN PALAZZO,R,15750,0.029277705,537952,1,182998,0.6411,Utilities,,,,1,537952,1,Mid-Low,Mid-High,7,100,Utilities,1570.556263,Values1314b,0.473743269,2012
Construction Services,2012,MS,STEVEN,PALAZZO,4,STEVEN PALAZZO,R,115750,0.215167896,537952,1,182998,0.6411,Industrials,,,,1,537952,1,Mid-Low,Mid-High,2,96,Industrials,5442.195259,Values1314b,0.555140148,2012
Automotive,2012,MS,STEVEN,PALAZZO,4,STEVEN PALAZZO,R,22800,0.042382964,537952,1,182998,0.6411,Consumer Discretionary,,,,1,537952,1,Mid-Low,Mid-High,6,91,Consumer Discretionary,8184.442504,Values1314b,0.6440764,2012
Accountants,2012,MS,STEVEN,PALAZZO,4,STEVEN PALAZZO,R,93252,0.173346321,537952,1,182998,0.6411,Financials,,,,1,537952,1,Mid-Low,Mid-High,4,94,Financials,5999.823849,Values1314b,0.542910069,2012
Crop Production & Basic Processing,2012,MS,STEVEN,PALAZZO,4,STEVEN PALAZZO,R,11500,0.021377372,537952,1,182998,0.6411,Consumer Staples,,,,1,537952,1,Mid-Low,Mid-High,8,92,Consumer Staples,2704.199142,Values1314b,0.523467767,2012
Oil & Gas,2012,MS,STEVEN,PALAZZO,4,STEVEN PALAZZO,R,39000,0.072497174,537952,1,182998,0.6411,Energy,,,,1,537952,1,Mid-Low,Mid-High,5,93,Energy,2302.988878,Values1314b,0.151340006,2012
Misc Business,2012,MS,TOM,CRAMER,S,TOM CRAMER,I,420,0.626865672,670,0,15281,0.0123,Materials,Consumer Discretionary,Consumer Staples,Industrials,0,5621080,0.000119194,Very Low,Very Low,1,98,Materials,2244.49036,Values1314b,0.413267616,2012
Commercial Banks,2012,MT,STEVEN,DAINES,1,STEVEN DAINES,R,79480,0.088204971,901083,0,255468,0.5325,Financials,,,,1,1377684,0.654056373,Mid-High,High,5,94,Financials,5999.823849,Values1314b,0.542910069,2012
Mining,2012,MT,STEVEN,DAINES,1,STEVEN DAINES,R,46550,0.051660058,901083,0,255468,0.5325,Materials,,,,1,1377684,0.654056373,Mid-High,High,6,98,Materials,2244.49036,Values1314b,0.413267616,2012
Crop Production & Basic Processing,2012,MT,STEVEN,DAINES,1,STEVEN DAINES,R,17060,0.018932773,901083,0,255468,0.5325,Consumer Staples,,,,1,1377684,0.654056373,Mid-High,High,8,92,Consumer Staples,2704.199142,Values1314b,0.523467767,2012
Mining,2012,MT,KIM,GILLAN,1,KIM GILLAN,D,26030,0.054615916,476601,0,204939,0.4272,Materials,,,,0,1377684,0.345943627,Mid-Low,High,3,98,Materials,2244.49036,Values1314b,0.413267616,2012
Misc Finance,2012,MT,KIM,GILLAN,1,KIM GILLAN,D,9000,0.01888372,476601,0,204939,0.4272,Financials,,,,0,1377684,0.345943627,Mid-Low,High,6,94,Financials,5999.823849,Values1314b,0.542910069,2012
Automotive,2012,MT,STEVEN,DAINES,1,STEVEN DAINES,R,80475,0.089309198,901083,0,255468,0.5325,Consumer Discretionary,,,,1,1377684,0.654056373,Mid-High,High,4,91,Consumer Discretionary,8184.442504,Values1314b,0.6440764,2012
Oil & Gas,2012,MT,STEVEN,DAINES,1,STEVEN DAINES,R,114520,0.127091511,901083,0,255468,0.5325,Energy,,,,1,1377684,0.654056373,Mid-High,High,3,93,Energy,2302.988878,Values1314b,0.151340006,2012
Hospitals/Nursing Homes,2012,MT,KIM,GILLAN,1,KIM GILLAN,D,16887,0.035432154,476601,0,204939,0.4272,Health Care,,,,0,1377684,0.345943627,Mid-Low,High,4,95,Health Care,5966.566284,Values1314b,0.782492615,2012
Business Services,2012,MT,KIM,GILLAN,1,KIM GILLAN,D,12700,0.026647028,476601,0,204939,0.4272,Consumer Discretionary,Industrials,,,0,1377684,0.345943627,Mid-Low,High,5,91,Consumer Discretionary,8184.442504,Values1314b,0.6440764,2012
Electric Utilities,2012,MT,STEVEN,DAINES,1,STEVEN DAINES,R,18750,0.020808294,901083,0,255468,0.5325,Utilities,,,,1,1377684,0.654056373,Mid-High,High,7,100,Utilities,1570.556263,Values1314b,0.473743269,2012
Telephone Utilities,2012,NC,G,BUTTERFIELD,1,G K BUTTERFIELD,D,29000,0.054622474,530917,1,254644,0.7532,Telecommunication Services,,,,1,530917,1,Mid-Low,High,7,99,Telecommunication Services,132.289977,Values1314b,0.175711767,2012
Defense Aerospace,2012,NC,G,BUTTERFIELD,1,G K BUTTERFIELD,D,15000,0.028253004,530917,1,254644,0.7532,Industrials,,,,1,530917,1,Mid-Low,High,8,96,Industrials,5442.195259,Values1314b,0.555140148,2012
"Beer, Wine & Liquor",2012,NC,G,BUTTERFIELD,1,G K BUTTERFIELD,D,51000,0.096060213,530917,1,254644,0.7532,Consumer Staples,,,,1,530917,1,Mid-Low,High,5,92,Consumer Staples,2704.199142,Values1314b,0.523467767,2012
Automotive,2012,NC,G,BUTTERFIELD,1,G K BUTTERFIELD,D,91850,0.17300256,530917,1,254644,0.7532,Consumer Discretionary,,,,1,530917,1,Mid-Low,High,2,91,Consumer Discretionary,8184.442504,Values1314b,0.6440764,2012
Insurance,2012,NC,G,BUTTERFIELD,1,G K BUTTERFIELD,D,14500,0.027311237,530917,1,254644,0.7532,Financials,,,,1,530917,1,Mid-Low,High,9,94,Financials,5999.823849,Values1314b,0.542910069,2012
Pharmaceuticals/Health Products,2012,NC,G,BUTTERFIELD,1,G K BUTTERFIELD,D,64350,0.121205386,530917,1,254644,0.7532,Health Care,,,,1,530917,1,Mid-Low,High,3,95,Health Care,5966.566284,Values1314b,0.782492615,2012
Electric Utilities,2012,NC,G,BUTTERFIELD,1,G K BUTTERFIELD,D,43750,0.082404594,530917,1,254644,0.7532,Utilities,,,,1,530917,1,Mid-Low,High,6,100,Utilities,1570.556263,Values1314b,0.473743269,2012
Crop Production & Basic Processing,2012,NC,PATSY,KEEVER,10,PATSY KEEVER,D,1250,0.008596442,145409,0,144023,0.4301,Consumer Staples,,,,0,955971,0.152106079,Very Low,Mid-High,6,92,Consumer Staples,2704.199142,Values1314b,0.523467767,2012
"Beer, Wine & Liquor",2012,NC,PATRICK,MCHENRY,10,PATRICK MCHENRY,R,35000,0.043179917,810562,1,190826,0.5699,Consumer Staples,,,,1,955971,0.847893921,Mid-Low,Mid-High,6,92,Consumer Staples,2704.199142,Values1314b,0.523467767,2012
Hospitals/Nursing Homes,2012,NC,PATRICK,MCHENRY,10,PATRICK MCHENRY,R,60750,0.074947999,810562,1,190826,0.5699,Health Care,,,,1,955971,0.847893921,Mid-Low,Mid-High,5,95,Health Care,5966.566284,Values1314b,0.782492615,2012
Misc Business,2012,NC,PATRICK,MCHENRY,10,PATRICK MCHENRY,R,15500,0.019122535,810562,1,190826,0.5699,Materials,Consumer Discretionary,Consumer Staples,Industrials,1,955971,0.847893921,Mid-Low,Mid-High,7,98,Materials,2244.49036,Values1314b,0.413267616,2012
Business Services,2012,NC,PATSY,KEEVER,10,PATSY KEEVER,D,16675,0.114676533,145409,0,144023,0.4301,Consumer Discretionary,Industrials,,,0,955971,0.152106079,Very Low,Mid-High,2,91,Consumer Discretionary,8184.442504,Values1314b,0.6440764,2012
Accountants,2012,NC,PATRICK,MCHENRY,10,PATRICK MCHENRY,R,416799,0.514209894,810562,1,190826,0.5699,Financials,,,,1,955971,0.847893921,Mid-Low,Mid-High,1,94,Financials,5999.823849,Values1314b,0.542910069,2012
Misc Manufacturing & Distributing,2012,NC,PATRICK,MCHENRY,10,PATRICK MCHENRY,R,69400,0.085619607,810562,1,190826,0.5699,Consumer Discretionary,Materials,Consumer Staples,Industrials,1,955971,0.847893921,Mid-Low,Mid-High,4,91,Consumer Discretionary,8184.442504,Values1314b,0.6440764,2012
Misc Business,2012,NC,PATSY,KEEVER,10,PATSY KEEVER,D,8261,0.056812164,145409,0,144023,0.4301,Materials,Consumer Discretionary,Consumer Staples,Industrials,0,955971,0.152106079,Very Low,Mid-High,4,98,Materials,2244.49036,Values1314b,0.413267616,2012
Oil & Gas,2012,NC,PATRICK,MCHENRY,10,PATRICK MCHENRY,R,15000,0.018505679,810562,1,190826,0.5699,Energy,,,,1,955971,0.847893921,Mid-Low,Mid-High,8,93,Energy,2302.988878,Values1314b,0.151340006,2012
Misc Finance,2012,NC,PATSY,KEEVER,10,PATSY KEEVER,D,2250,0.015473595,145409,0,144023,0.4301,Financials,,,,0,955971,0.152106079,Very Low,Mid-High,5,94,Financials,5999.823849,Values1314b,0.542910069,2012
Finance/Credit Companies,2012,NC,HAYDEN,ROGERS,11,HAYDEN ROGERS,D,26500,0.059806048,443099,0,141107,0.4258,Financials,,,,0,983249,0.450647801,Mid-Low,Mid-High,4,94,Financials,5999.823849,Values1314b,0.542910069,2012
Business Services,2012,NC,HAYDEN,ROGERS,11,HAYDEN ROGERS,D,44550,0.100541865,443099,0,141107,0.4258,Consumer Discretionary,Industrials,,,0,983249,0.450647801,Mid-Low,Mid-High,3,91,Consumer Discretionary,8184.442504,Values1314b,0.6440764,2012
Electric Utilities,2012,NC,HAYDEN,ROGERS,11,HAYDEN ROGERS,D,17400,0.039268877,443099,0,141107,0.4258,Utilities,,,,0,983249,0.450647801,Mid-Low,Mid-High,6,100,Utilities,1570.556263,Values1314b,0.473743269,2012
Oil & Gas,2012,NC,MARK,MEADOWS,11,MARK R MEADOWS,R,21000,0.038878089,540150,0,190319,0.5742,Energy,,,,1,983249,0.549352199,Mid-Low,Mid-High,5,93,Energy,2302.988878,Values1314b,0.151340006,2012
Agricultural Services/Products,2012,NC,MARK,MEADOWS,11,MARK R MEADOWS,R,22000,0.040729427,540150,0,190319,0.5742,Consumer Staples,,,,1,983249,0.549352199,Mid-Low,Mid-High,4,92,Consumer Staples,2704.199142,Values1314b,0.523467767,2012
Misc Business,2012,NC,MARK,MEADOWS,11,MARK R MEADOWS,R,6500,0.012033694,540150,0,190319,0.5742,Materials,Consumer Discretionary,Consumer Staples,Industrials,1,983249,0.549352199,Mid-Low,Mid-High,7,98,Materials,2244.49036,Values1314b,0.413267616,2012
Commercial Banks,2012,NC,MARK,MEADOWS,11,MARK R MEADOWS,R,37450,0.069332593,540150,0,190319,0.5742,Financials,,,,1,983249,0.549352199,Mid-Low,Mid-High,3,94,Financials,5999.823849,Values1314b,0.542910069,2012
Health Services/HMOs,2012,NC,HAYDEN,ROGERS,11,HAYDEN ROGERS,D,18249,0.041184927,443099,0,141107,0.4258,Health Care,,,,0,983249,0.450647801,Mid-Low,Mid-High,5,95,Health Care,5966.566284,Values1314b,0.782492615,2012
Automotive,2012,NC,MARK,MEADOWS,11,MARK R MEADOWS,R,13500,0.024993057,540150,0,190319,0.5742,Consumer Discretionary,,,,1,983249,0.549352199,Mid-Low,Mid-High,6,91,Consumer Discretionary,8184.442504,Values1314b,0.6440764,2012
Pharmaceuticals/Health Products,2012,NC,MARK,MEADOWS,11,MARK R MEADOWS,R,5500,0.010182357,540150,0,190319,0.5742,Health Care,,,,1,983249,0.549352199,Mid-Low,Mid-High,8,95,Health Care,5966.566284,Values1314b,0.782492615,2012
