[state, district, year]=al, 01, 2004
Jo Bonner (R)
Industry	Total	
Construction Services	$20,650
Insurance	$19,700
Education	$17,950
Misc Finance	$16,700
Defense Electronics	$14,906
Candidate Committees	$14,620
Food & Beverage	$14,500

Vivian Sheffield Beckerle (D)
Industry	Total	
Democratic/Liberal	$3,500
Transportation Unions	$2,500
Business Services	$962
Retired	$932
Lawyers/Law Firms	$500
Retail Sales	$500

[state, district, year]=al, 47, 2006
Jo Bonner (R)
Industry	Total	
Real Estate	$88,700
Health Professionals	$64,050
Lobbyists	$50,562
Lawyers/Law Firms	$43,300
Retired	$42,300
Crop Production & Basic Processing	$31,950
Commercial Banks	$30,550
Forestry & Forest Products	$28,600
Agricultural Services/Products	$27,000
Misc Business	$24,750
Electric Utilities	$23,419
Pro-Israel	$21,000
General Contractors	$20,700
Construction Services	$20,650
Insurance	$19,700
Education	$17,950
Misc Finance	$16,700
Defense Electronics	$14,906
Candidate Committees	$14,620
Food & Beverage	$14,500

Vivian Sheffield Beckerle (D)
Industry	Total	
Democratic/Liberal	$3,500
Transportation Unions	$2,500
Business Services	$962
Retired	$932
Lawyers/Law Firms	$500
Retail Sales	$500

[state, district, year]=al, 48, 2006
Jo Bonner (R)
Industry	Total	
Real Estate	$88,700
Health Professionals	$64,050
Lobbyists	$50,562
Lawyers/Law Firms	$43,300
Retired	$42,300
Crop Production & Basic Processing	$31,950
Commercial Banks	$30,550
Forestry & Forest Products	$28,600
Agricultural Services/Products	$27,000
Misc Business	$24,750
Electric Utilities	$23,419
Pro-Israel	$21,000
General Contractors	$20,700
Construction Services	$20,650
Insurance	$19,700
Education	$17,950
Misc Finance	$16,700
Defense Electronics	$14,906
Candidate Committees	$14,620
Food & Beverage	$14,500

Vivian Sheffield Beckerle (D)
Industry	Total	
Democratic/Liberal	$3,500
Transportation Unions	$2,500
Business Services	$962
Retired	$932
Lawyers/Law Firms	$500
Retail Sales	$500

[state, district, year]=al, 49, 2006
Jo Bonner (R)
Industry	Total	
Real Estate	$88,700
Health Professionals	$64,050
Lobbyists	$50,562
Lawyers/Law Firms	$43,300
Retired	$42,300
Crop Production & Basic Processing	$31,950
Commercial Banks	$30,550
Forestry & Forest Products	$28,600
Agricultural Services/Products	$27,000
Misc Business	$24,750
Electric Utilities	$23,419
Pro-Israel	$21,000
General Contractors	$20,700
Construction Services	$20,650
Insurance	$19,700
Education	$17,950
Misc Finance	$16,700
Defense Electronics	$14,906
Candidate Committees	$14,620
Food & Beverage	$14,500

Vivian Sheffield Beckerle (D)
Industry	Total	
Democratic/Liberal	$3,500
Transportation Unions	$2,500
Business Services	$962
Retired	$932
Lawyers/Law Firms	$500
Retail Sales	$500

[state, district, year]=al, 50, 2006
Jo Bonner (R)
Industry	Total	
Real Estate	$88,700
Health Professionals	$64,050
Lobbyists	$50,562
Lawyers/Law Firms	$43,300
Retired	$42,300
Crop Production & Basic Processing	$31,950
Commercial Banks	$30,550
Forestry & Forest Products	$28,600
Agricultural Services/Products	$27,000
Misc Business	$24,750
Electric Utilities	$23,419
Pro-Israel	$21,000
General Contractors	$20,700
Construction Services	$20,650
Insurance	$19,700
Education	$17,950
Misc Finance	$16,700
Defense Electronics	$14,906
Candidate Committees	$14,620
Food & Beverage	$14,500

Vivian Sheffield Beckerle (D)
Industry	Total	
Democratic/Liberal	$3,500
Transportation Unions	$2,500
Business Services	$962
Retired	$932
Lawyers/Law Firms	$500
Retail Sales	$500

[state, district, year]=al, 51, 2006
Jo Bonner (R)
Industry	Total	
Real Estate	$88,700
Health Professionals	$64,050
Lobbyists	$50,562
Lawyers/Law Firms	$43,300
Retired	$42,300
Crop Production & Basic Processing	$31,950
Commercial Banks	$30,550
Forestry & Forest Products	$28,600
Agricultural Services/Products	$27,000
Misc Business	$24,750
Electric Utilities	$23,419
Pro-Israel	$21,000
General Contractors	$20,700
Construction Services	$20,650
Insurance	$19,700
Education	$17,950
Misc Finance	$16,700
Defense Electronics	$14,906
Candidate Committees	$14,620
Food & Beverage	$14,500

Vivian Sheffield Beckerle (D)
Industry	Total	
Democratic/Liberal	$3,500
Transportation Unions	$2,500
Business Services	$962
Retired	$932
Lawyers/Law Firms	$500
Retail Sales	$500

[state, district, year]=al, 52, 2006
Jo Bonner (R)
Industry	Total	
Real Estate	$88,700
Health Professionals	$64,050
Lobbyists	$50,562
Lawyers/Law Firms	$43,300
Retired	$42,300
Crop Production & Basic Processing	$31,950
Commercial Banks	$30,550
Forestry & Forest Products	$28,600
Agricultural Services/Products	$27,000
Misc Business	$24,750
Electric Utilities	$23,419
Pro-Israel	$21,000
General Contractors	$20,700
Construction Services	$20,650
Insurance	$19,700
Education	$17,950
Misc Finance	$16,700
Defense Electronics	$14,906
Candidate Committees	$14,620
Food & Beverage	$14,500

Vivian Sheffield Beckerle (D)
Industry	Total	
Democratic/Liberal	$3,500
Transportation Unions	$2,500
Business Services	$962
Retired	$932
Lawyers/Law Firms	$500
Retail Sales	$500

[state, district, year]=al, 53, 2006
Jo Bonner (R)
Industry	Total	
Real Estate	$88,700
Health Professionals	$64,050
Lobbyists	$50,562
Lawyers/Law Firms	$43,300
Retired	$42,300
Crop Production & Basic Processing	$31,950
Commercial Banks	$30,550
Forestry & Forest Products	$28,600
Agricultural Services/Products	$27,000
Misc Business	$24,750
Electric Utilities	$23,419
Pro-Israel	$21,000
General Contractors	$20,700
Construction Services	$20,650
Insurance	$19,700
Education	$17,950
Misc Finance	$16,700
Defense Electronics	$14,906
Candidate Committees	$14,620
Food & Beverage	$14,500

Vivian Sheffield Beckerle (D)
Industry	Total	
Democratic/Liberal	$3,500
Transportation Unions	$2,500
Business Services	$962
Retired	$932
Lawyers/Law Firms	$500
Retail Sales	$500

[state, district, year]=al, 54, 2006
Jo Bonner (R)
Industry	Total	
Real Estate	$88,700
Health Professionals	$64,050
Lobbyists	$50,562
Lawyers/Law Firms	$43,300
Retired	$42,300
Crop Production & Basic Processing	$31,950
Commercial Banks	$30,550
Forestry & Forest Products	$28,600
Agricultural Services/Products	$27,000
Misc Business	$24,750
Electric Utilities	$23,419
Pro-Israel	$21,000
General Contractors	$20,700
Construction Services	$20,650
Insurance	$19,700
Education	$17,950
Misc Finance	$16,700
Defense Electronics	$14,906
Candidate Committees	$14,620
Food & Beverage	$14,500

Vivian Sheffield Beckerle (D)
Industry	Total	
Democratic/Liberal	$3,500
Transportation Unions	$2,500
Business Services	$962
Retired	$932
Lawyers/Law Firms	$500
Retail Sales	$500

[state, district, year]=al, 55, 2006
Jo Bonner (R)
Industry	Total	
Real Estate	$88,700
Health Professionals	$64,050
Lobbyists	$50,562
Lawyers/Law Firms	$43,300
Retired	$42,300
Crop Production & Basic Processing	$31,950
Commercial Banks	$30,550
Forestry & Forest Products	$28,600
Agricultural Services/Products	$27,000
Misc Business	$24,750
Electric Utilities	$23,419
Pro-Israel	$21,000
General Contractors	$20,700
Construction Services	$20,650
Insurance	$19,700
Education	$17,950
Misc Finance	$16,700
Defense Electronics	$14,906
Candidate Committees	$14,620
Food & Beverage	$14,500

Vivian Sheffield Beckerle (D)
Industry	Total	
Democratic/Liberal	$3,500
Transportation Unions	$2,500
Business Services	$962
Retired	$932
Lawyers/Law Firms	$500
Retail Sales	$500

[state, district, year]=al, 56, 2006
Jo Bonner (R)
Industry	Total	
Real Estate	$88,700
Health Professionals	$64,050
Lobbyists	$50,562
Lawyers/Law Firms	$43,300
Retired	$42,300
Crop Production & Basic Processing	$31,950
Commercial Banks	$30,550
Forestry & Forest Products	$28,600
Agricultural Services/Products	$27,000
Misc Business	$24,750
Electric Utilities	$23,419
Pro-Israel	$21,000
General Contractors	$20,700
Construction Services	$20,650
Insurance	$19,700
Education	$17,950
Misc Finance	$16,700
Defense Electronics	$14,906
Candidate Committees	$14,620
Food & Beverage	$14,500

Vivian Sheffield Beckerle (D)
Industry	Total	
Democratic/Liberal	$3,500
Transportation Unions	$2,500
Business Services	$962
Retired	$932
Lawyers/Law Firms	$500
Retail Sales	$500

[state, district, year]=al, 57, 2006
Jo Bonner (R)
Industry	Total	
Real Estate	$88,700
Health Professionals	$64,050
Lobbyists	$50,562
Lawyers/Law Firms	$43,300
Retired	$42,300
Crop Production & Basic Processing	$31,950
Commercial Banks	$30,550
Forestry & Forest Products	$28,600
Agricultural Services/Products	$27,000
Misc Business	$24,750
Electric Utilities	$23,419
Pro-Israel	$21,000
General Contractors	$20,700
Construction Services	$20,650
Insurance	$19,700
Education	$17,950
Misc Finance	$16,700
Defense Electronics	$14,906
Candidate Committees	$14,620
Food & Beverage	$14,500

Vivian Sheffield Beckerle (D)
Industry	Total	
Democratic/Liberal	$3,500
Transportation Unions	$2,500
Business Services	$962
Retired	$932
Lawyers/Law Firms	$500
Retail Sales	$500

[state, district, year]=al, 58, 2006
Jo Bonner (R)
Industry	Total	
Real Estate	$88,700
Health Professionals	$64,050
Lobbyists	$50,562
Lawyers/Law Firms	$43,300
Retired	$42,300
Crop Production & Basic Processing	$31,950
Commercial Banks	$30,550
Forestry & Forest Products	$28,600
Agricultural Services/Products	$27,000
Misc Business	$24,750
Electric Utilities	$23,419
Pro-Israel	$21,000
General Contractors	$20,700
Construction Services	$20,650
Insurance	$19,700
Education	$17,950
Misc Finance	$16,700
Defense Electronics	$14,906
Candidate Committees	$14,620
Food & Beverage	$14,500

Vivian Sheffield Beckerle (D)
Industry	Total	
Democratic/Liberal	$3,500
Transportation Unions	$2,500
Business Services	$962
Retired	$932
Lawyers/Law Firms	$500
Retail Sales	$500

[state, district, year]=al, 59, 2006
Jo Bonner (R)
Industry	Total	
Real Estate	$88,700
Health Professionals	$64,050
Lobbyists	$50,562
Lawyers/Law Firms	$43,300
Retired	$42,300
Crop Production & Basic Processing	$31,950
Commercial Banks	$30,550
Forestry & Forest Products	$28,600
Agricultural Services/Products	$27,000
Misc Business	$24,750
Electric Utilities	$23,419
Pro-Israel	$21,000
General Contractors	$20,700
Construction Services	$20,650
Insurance	$19,700
Education	$17,950
Misc Finance	$16,700
Defense Electronics	$14,906
Candidate Committees	$14,620
Food & Beverage	$14,500

Vivian Sheffield Beckerle (D)
Industry	Total	
Democratic/Liberal	$3,500
Transportation Unions	$2,500
Business Services	$962
Retired	$932
Lawyers/Law Firms	$500
Retail Sales	$500

[state, district, year]=al, 01, 2008
Jo Bonner (R)
Industry	Total	
Real Estate	$50,300
Lawyers/Law Firms	$45,000
Health Professionals	$43,950
Retired	$43,100
Lobbyists	$34,745
Crop Production & Basic Processing	$32,200
Sea Transport	$29,676
Agricultural Services/Products	$25,250
Misc Finance	$24,450
Electric Utilities	$22,277
Commercial Banks	$22,050
Insurance	$22,050
General Contractors	$20,450
Business Services	$16,600
Forestry & Forest Products	$16,200
Automotive	$15,250
Misc Manufacturing & Distributing	$14,500
Building Materials & Equipment	$14,100
Construction Services	$14,000
Steel Production	$13,400

[state, district, year]=al, 02, 2008
Jo Bonner (R)
Industry	Total	
Real Estate	$50,300
Lawyers/Law Firms	$45,000
Health Professionals	$43,950
Retired	$43,100
Lobbyists	$34,745
Crop Production & Basic Processing	$32,200
Sea Transport	$29,676
Agricultural Services/Products	$25,250
Misc Finance	$24,450
Electric Utilities	$22,277
Commercial Banks	$22,050
Insurance	$22,050
General Contractors	$20,450
Business Services	$16,600
Forestry & Forest Products	$16,200
Automotive	$15,250
Misc Manufacturing & Distributing	$14,500
Building Materials & Equipment	$14,100
Construction Services	$14,000
Steel Production	$13,400

[state, district, year]=al, 03, 2008
Jo Bonner (R)
Industry	Total	
Real Estate	$50,300
Lawyers/Law Firms	$45,000
Health Professionals	$43,950
Retired	$43,100
Lobbyists	$34,745
Crop Production & Basic Processing	$32,200
Sea Transport	$29,676
Agricultural Services/Products	$25,250
Misc Finance	$24,450
Electric Utilities	$22,277
Commercial Banks	$22,050
Insurance	$22,050
General Contractors	$20,450
Business Services	$16,600
Forestry & Forest Products	$16,200
Automotive	$15,250
Misc Manufacturing & Distributing	$14,500
Building Materials & Equipment	$14,100
Construction Services	$14,000
Steel Production	$13,400

[state, district, year]=al, 04, 2008
Jo Bonner (R)
Industry	Total	
Real Estate	$50,300
Lawyers/Law Firms	$45,000
Health Professionals	$43,950
Retired	$43,100
Lobbyists	$34,745
Crop Production & Basic Processing	$32,200
Sea Transport	$29,676
Agricultural Services/Products	$25,250
Misc Finance	$24,450
Electric Utilities	$22,277
Commercial Banks	$22,050
Insurance	$22,050
General Contractors	$20,450
Business Services	$16,600
Forestry & Forest Products	$16,200
Automotive	$15,250
Misc Manufacturing & Distributing	$14,500
Building Materials & Equipment	$14,100
Construction Services	$14,000
Steel Production	$13,400

[state, district, year]=al, 05, 2008
Jo Bonner (R)
Industry	Total	
Real Estate	$50,300
Lawyers/Law Firms	$45,000
Health Professionals	$43,950
Retired	$43,100
Lobbyists	$34,745
Crop Production & Basic Processing	$32,200
Sea Transport	$29,676
Agricultural Services/Products	$25,250
Misc Finance	$24,450
Electric Utilities	$22,277
Commercial Banks	$22,050
Insurance	$22,050
General Contractors	$20,450
Business Services	$16,600
Forestry & Forest Products	$16,200
Automotive	$15,250
Misc Manufacturing & Distributing	$14,500
Building Materials & Equipment	$14,100
Construction Services	$14,000
Steel Production	$13,400

[state, district, year]=al, 06, 2008
Jo Bonner (R)
Industry	Total	
Real Estate	$50,300
Lawyers/Law Firms	$45,000
Health Professionals	$43,950
Retired	$43,100
Lobbyists	$34,745
Crop Production & Basic Processing	$32,200
Sea Transport	$29,676
Agricultural Services/Products	$25,250
Misc Finance	$24,450
Electric Utilities	$22,277
Commercial Banks	$22,050
Insurance	$22,050
General Contractors	$20,450
Business Services	$16,600
Forestry & Forest Products	$16,200
Automotive	$15,250
Misc Manufacturing & Distributing	$14,500
Building Materials & Equipment	$14,100
Construction Services	$14,000
Steel Production	$13,400

[state, district, year]=al, 07, 2008
Jo Bonner (R)
Industry	Total	
Real Estate	$50,300
Lawyers/Law Firms	$45,000
Health Professionals	$43,950
Retired	$43,100
Lobbyists	$34,745
Crop Production & Basic Processing	$32,200
Sea Transport	$29,676
Agricultural Services/Products	$25,250
Misc Finance	$24,450
Electric Utilities	$22,277
Commercial Banks	$22,050
Insurance	$22,050
General Contractors	$20,450
Business Services	$16,600
Forestry & Forest Products	$16,200
Automotive	$15,250
Misc Manufacturing & Distributing	$14,500
Building Materials & Equipment	$14,100
Construction Services	$14,000
Steel Production	$13,400

[state, district, year]=al, 08, 2008
Jo Bonner (R)
Industry	Total	
Real Estate	$50,300
Lawyers/Law Firms	$45,000
Health Professionals	$43,950
Retired	$43,100
Lobbyists	$34,745
Crop Production & Basic Processing	$32,200
Sea Transport	$29,676
Agricultural Services/Products	$25,250
Misc Finance	$24,450
Electric Utilities	$22,277
Commercial Banks	$22,050
Insurance	$22,050
General Contractors	$20,450
Business Services	$16,600
Forestry & Forest Products	$16,200
Automotive	$15,250
Misc Manufacturing & Distributing	$14,500
Building Materials & Equipment	$14,100
Construction Services	$14,000
Steel Production	$13,400

[state, district, year]=al, 09, 2008
Jo Bonner (R)
Industry	Total	
Real Estate	$50,300
Lawyers/Law Firms	$45,000
Health Professionals	$43,950
Retired	$43,100
Lobbyists	$34,745
Crop Production & Basic Processing	$32,200
Sea Transport	$29,676
Agricultural Services/Products	$25,250
Misc Finance	$24,450
Electric Utilities	$22,277
Commercial Banks	$22,050
Insurance	$22,050
General Contractors	$20,450
Business Services	$16,600
Forestry & Forest Products	$16,200
Automotive	$15,250
Misc Manufacturing & Distributing	$14,500
Building Materials & Equipment	$14,100
Construction Services	$14,000
Steel Production	$13,400

[state, district, year]=al, 10, 2008
Jo Bonner (R)
Industry	Total	
Real Estate	$50,300
Lawyers/Law Firms	$45,000
Health Professionals	$43,950
Retired	$43,100
Lobbyists	$34,745
Crop Production & Basic Processing	$32,200
Sea Transport	$29,676
Agricultural Services/Products	$25,250
Misc Finance	$24,450
Electric Utilities	$22,277
Commercial Banks	$22,050
Insurance	$22,050
General Contractors	$20,450
Business Services	$16,600
Forestry & Forest Products	$16,200
Automotive	$15,250
Misc Manufacturing & Distributing	$14,500
Building Materials & Equipment	$14,100
Construction Services	$14,000
Steel Production	$13,400

[state, district, year]=al, 11, 2008
Jo Bonner (R)
Industry	Total	
Real Estate	$50,300
Lawyers/Law Firms	$45,000
Health Professionals	$43,950
Retired	$43,100
Lobbyists	$34,745
Crop Production & Basic Processing	$32,200
Sea Transport	$29,676
Agricultural Services/Products	$25,250
Misc Finance	$24,450
Electric Utilities	$22,277
Commercial Banks	$22,050
Insurance	$22,050
General Contractors	$20,450
Business Services	$16,600
Forestry & Forest Products	$16,200
Automotive	$15,250
Misc Manufacturing & Distributing	$14,500
Building Materials & Equipment	$14,100
Construction Services	$14,000
Steel Production	$13,400

[state, district, year]=al, 12, 2008
Jo Bonner (R)
Industry	Total	
Real Estate	$50,300
Lawyers/Law Firms	$45,000
Health Professionals	$43,950
Retired	$43,100
Lobbyists	$34,745
Crop Production & Basic Processing	$32,200
Sea Transport	$29,676
Agricultural Services/Products	$25,250
Misc Finance	$24,450
Electric Utilities	$22,277
Commercial Banks	$22,050
Insurance	$22,050
General Contractors	$20,450
Business Services	$16,600
Forestry & Forest Products	$16,200
Automotive	$15,250
Misc Manufacturing & Distributing	$14,500
Building Materials & Equipment	$14,100
Construction Services	$14,000
Steel Production	$13,400

[state, district, year]=al, 13, 2008
Jo Bonner (R)
Industry	Total	
Real Estate	$50,300
Lawyers/Law Firms	$45,000
Health Professionals	$43,950
Retired	$43,100
Lobbyists	$34,745
Crop Production & Basic Processing	$32,200
Sea Transport	$29,676
Agricultural Services/Products	$25,250
Misc Finance	$24,450
Electric Utilities	$22,277
Commercial Banks	$22,050
Insurance	$22,050
General Contractors	$20,450
Business Services	$16,600
Forestry & Forest Products	$16,200
Automotive	$15,250
Misc Manufacturing & Distributing	$14,500
Building Materials & Equipment	$14,100
Construction Services	$14,000
Steel Production	$13,400

[state, district, year]=al, 14, 2008
Jo Bonner (R)
Industry	Total	
Real Estate	$50,300
Lawyers/Law Firms	$45,000
Health Professionals	$43,950
Retired	$43,100
Lobbyists	$34,745
Crop Production & Basic Processing	$32,200
Sea Transport	$29,676
Agricultural Services/Products	$25,250
Misc Finance	$24,450
Electric Utilities	$22,277
Commercial Banks	$22,050
Insurance	$22,050
General Contractors	$20,450
Business Services	$16,600
Forestry & Forest Products	$16,200
Automotive	$15,250
Misc Manufacturing & Distributing	$14,500
Building Materials & Equipment	$14,100
Construction Services	$14,000
Steel Production	$13,400

[state, district, year]=al, 15, 2008
Jo Bonner (R)
Industry	Total	
Real Estate	$50,300
Lawyers/Law Firms	$45,000
Health Professionals	$43,950
Retired	$43,100
Lobbyists	$34,745
Crop Production & Basic Processing	$32,200
Sea Transport	$29,676
Agricultural Services/Products	$25,250
Misc Finance	$24,450
Electric Utilities	$22,277
Commercial Banks	$22,050
Insurance	$22,050
General Contractors	$20,450
Business Services	$16,600
Forestry & Forest Products	$16,200
Automotive	$15,250
Misc Manufacturing & Distributing	$14,500
Building Materials & Equipment	$14,100
Construction Services	$14,000
Steel Production	$13,400

[state, district, year]=al, 16, 2008
Jo Bonner (R)
Industry	Total	
Real Estate	$50,300
Lawyers/Law Firms	$45,000
Health Professionals	$43,950
Retired	$43,100
Lobbyists	$34,745
Crop Production & Basic Processing	$32,200
Sea Transport	$29,676
Agricultural Services/Products	$25,250
Misc Finance	$24,450
Electric Utilities	$22,277
Commercial Banks	$22,050
Insurance	$22,050
General Contractors	$20,450
Business Services	$16,600
Forestry & Forest Products	$16,200
Automotive	$15,250
Misc Manufacturing & Distributing	$14,500
Building Materials & Equipment	$14,100
Construction Services	$14,000
Steel Production	$13,400

[state, district, year]=al, 17, 2008
Jo Bonner (R)
Industry	Total	
Real Estate	$50,300
Lawyers/Law Firms	$45,000
Health Professionals	$43,950
Retired	$43,100
Lobbyists	$34,745
Crop Production & Basic Processing	$32,200
Sea Transport	$29,676
Agricultural Services/Products	$25,250
Misc Finance	$24,450
Electric Utilities	$22,277
Commercial Banks	$22,050
Insurance	$22,050
General Contractors	$20,450
Business Services	$16,600
Forestry & Forest Products	$16,200
Automotive	$15,250
Misc Manufacturing & Distributing	$14,500
Building Materials & Equipment	$14,100
Construction Services	$14,000
Steel Production	$13,400

[state, district, year]=al, 18, 2008
Jo Bonner (R)
Industry	Total	
Real Estate	$50,300
Lawyers/Law Firms	$45,000
Health Professionals	$43,950
Retired	$43,100
Lobbyists	$34,745
Crop Production & Basic Processing	$32,200
Sea Transport	$29,676
Agricultural Services/Products	$25,250
Misc Finance	$24,450
Electric Utilities	$22,277
Commercial Banks	$22,050
Insurance	$22,050
General Contractors	$20,450
Business Services	$16,600
Forestry & Forest Products	$16,200
Automotive	$15,250
Misc Manufacturing & Distributing	$14,500
Building Materials & Equipment	$14,100
Construction Services	$14,000
Steel Production	$13,400

[state, district, year]=al, 19, 2008
Jo Bonner (R)
Industry	Total	
Real Estate	$50,300
Lawyers/Law Firms	$45,000
Health Professionals	$43,950
Retired	$43,100
Lobbyists	$34,745
Crop Production & Basic Processing	$32,200
Sea Transport	$29,676
Agricultural Services/Products	$25,250
Misc Finance	$24,450
Electric Utilities	$22,277
Commercial Banks	$22,050
Insurance	$22,050
General Contractors	$20,450
Business Services	$16,600
Forestry & Forest Products	$16,200
Automotive	$15,250
Misc Manufacturing & Distributing	$14,500
Building Materials & Equipment	$14,100
Construction Services	$14,000
Steel Production	$13,400

[state, district, year]=al, 20, 2008
Jo Bonner (R)
Industry	Total	
Real Estate	$50,300
Lawyers/Law Firms	$45,000
Health Professionals	$43,950
Retired	$43,100
Lobbyists	$34,745
Crop Production & Basic Processing	$32,200
Sea Transport	$29,676
Agricultural Services/Products	$25,250
Misc Finance	$24,450
Electric Utilities	$22,277
Commercial Banks	$22,050
Insurance	$22,050
General Contractors	$20,450
Business Services	$16,600
Forestry & Forest Products	$16,200
Automotive	$15,250
Misc Manufacturing & Distributing	$14,500
Building Materials & Equipment	$14,100
Construction Services	$14,000
Steel Production	$13,400

[state, district, year]=al, 21, 2008
Jo Bonner (R)
Industry	Total	
Real Estate	$50,300
Lawyers/Law Firms	$45,000
Health Professionals	$43,950
Retired	$43,100
Lobbyists	$34,745
Crop Production & Basic Processing	$32,200
Sea Transport	$29,676
Agricultural Services/Products	$25,250
Misc Finance	$24,450
Electric Utilities	$22,277
Commercial Banks	$22,050
Insurance	$22,050
General Contractors	$20,450
Business Services	$16,600
Forestry & Forest Products	$16,200
Automotive	$15,250
Misc Manufacturing & Distributing	$14,500
Building Materials & Equipment	$14,100
Construction Services	$14,000
Steel Production	$13,400

[state, district, year]=al, 22, 2008
Jo Bonner (R)
Industry	Total	
Real Estate	$50,300
Lawyers/Law Firms	$45,000
Health Professionals	$43,950
Retired	$43,100
Lobbyists	$34,745
Crop Production & Basic Processing	$32,200
Sea Transport	$29,676
Agricultural Services/Products	$25,250
Misc Finance	$24,450
Electric Utilities	$22,277
Commercial Banks	$22,050
Insurance	$22,050
General Contractors	$20,450
Business Services	$16,600
Forestry & Forest Products	$16,200
Automotive	$15,250
Misc Manufacturing & Distributing	$14,500
Building Materials & Equipment	$14,100
Construction Services	$14,000
Steel Production	$13,400

[state, district, year]=al, 23, 2008
Jo Bonner (R)
Industry	Total	
Real Estate	$50,300
Lawyers/Law Firms	$45,000
Health Professionals	$43,950
Retired	$43,100
Lobbyists	$34,745
Crop Production & Basic Processing	$32,200
Sea Transport	$29,676
Agricultural Services/Products	$25,250
Misc Finance	$24,450
Electric Utilities	$22,277
Commercial Banks	$22,050
Insurance	$22,050
General Contractors	$20,450
Business Services	$16,600
Forestry & Forest Products	$16,200
Automotive	$15,250
Misc Manufacturing & Distributing	$14,500
Building Materials & Equipment	$14,100
Construction Services	$14,000
Steel Production	$13,400

[state, district, year]=al, 24, 2008
Jo Bonner (R)
Industry	Total	
Real Estate	$50,300
Lawyers/Law Firms	$45,000
Health Professionals	$43,950
Retired	$43,100
Lobbyists	$34,745
Crop Production & Basic Processing	$32,200
Sea Transport	$29,676
Agricultural Services/Products	$25,250
Misc Finance	$24,450
Electric Utilities	$22,277
Commercial Banks	$22,050
Insurance	$22,050
General Contractors	$20,450
Business Services	$16,600
Forestry & Forest Products	$16,200
Automotive	$15,250
Misc Manufacturing & Distributing	$14,500
Building Materials & Equipment	$14,100
Construction Services	$14,000
Steel Production	$13,400

[state, district, year]=al, 25, 2008
Jo Bonner (R)
Industry	Total	
Real Estate	$50,300
Lawyers/Law Firms	$45,000
Health Professionals	$43,950
Retired	$43,100
Lobbyists	$34,745
Crop Production & Basic Processing	$32,200
Sea Transport	$29,676
Agricultural Services/Products	$25,250
Misc Finance	$24,450
Electric Utilities	$22,277
Commercial Banks	$22,050
Insurance	$22,050
General Contractors	$20,450
Business Services	$16,600
Forestry & Forest Products	$16,200
Automotive	$15,250
Misc Manufacturing & Distributing	$14,500
Building Materials & Equipment	$14,100
Construction Services	$14,000
Steel Production	$13,400

[state, district, year]=al, 26, 2008
Jo Bonner (R)
Industry	Total	
Real Estate	$50,300
Lawyers/Law Firms	$45,000
Health Professionals	$43,950
Retired	$43,100
Lobbyists	$34,745
Crop Production & Basic Processing	$32,200
Sea Transport	$29,676
Agricultural Services/Products	$25,250
Misc Finance	$24,450
Electric Utilities	$22,277
Commercial Banks	$22,050
Insurance	$22,050
General Contractors	$20,450
Business Services	$16,600
Forestry & Forest Products	$16,200
Automotive	$15,250
Misc Manufacturing & Distributing	$14,500
Building Materials & Equipment	$14,100
Construction Services	$14,000
Steel Production	$13,400

[state, district, year]=al, 27, 2008
Jo Bonner (R)
Industry	Total	
Real Estate	$50,300
Lawyers/Law Firms	$45,000
Health Professionals	$43,950
Retired	$43,100
Lobbyists	$34,745
Crop Production & Basic Processing	$32,200
Sea Transport	$29,676
Agricultural Services/Products	$25,250
Misc Finance	$24,450
Electric Utilities	$22,277
Commercial Banks	$22,050
Insurance	$22,050
General Contractors	$20,450
Business Services	$16,600
Forestry & Forest Products	$16,200
Automotive	$15,250
Misc Manufacturing & Distributing	$14,500
Building Materials & Equipment	$14,100
Construction Services	$14,000
Steel Production	$13,400

[state, district, year]=al, 28, 2008
Jo Bonner (R)
Industry	Total	
Real Estate	$50,300
Lawyers/Law Firms	$45,000
Health Professionals	$43,950
Retired	$43,100
Lobbyists	$34,745
Crop Production & Basic Processing	$32,200
Sea Transport	$29,676
Agricultural Services/Products	$25,250
Misc Finance	$24,450
Electric Utilities	$22,277
Commercial Banks	$22,050
Insurance	$22,050
General Contractors	$20,450
Business Services	$16,600
Forestry & Forest Products	$16,200
Automotive	$15,250
Misc Manufacturing & Distributing	$14,500
Building Materials & Equipment	$14,100
Construction Services	$14,000
Steel Production	$13,400

[state, district, year]=al, 29, 2008
Jo Bonner (R)
Industry	Total	
Real Estate	$50,300
Lawyers/Law Firms	$45,000
Health Professionals	$43,950
Retired	$43,100
Lobbyists	$34,745
Crop Production & Basic Processing	$32,200
Sea Transport	$29,676
Agricultural Services/Products	$25,250
Misc Finance	$24,450
Electric Utilities	$22,277
Commercial Banks	$22,050
Insurance	$22,050
General Contractors	$20,450
Business Services	$16,600
Forestry & Forest Products	$16,200
Automotive	$15,250
Misc Manufacturing & Distributing	$14,500
Building Materials & Equipment	$14,100
Construction Services	$14,000
Steel Production	$13,400

[state, district, year]=al, 30, 2008
Jo Bonner (R)
Industry	Total	
Real Estate	$50,300
Lawyers/Law Firms	$45,000
Health Professionals	$43,950
Retired	$43,100
Lobbyists	$34,745
Crop Production & Basic Processing	$32,200
Sea Transport	$29,676
Agricultural Services/Products	$25,250
Misc Finance	$24,450
Electric Utilities	$22,277
Commercial Banks	$22,050
